Account_Key,Billing_Num,Book_key,Book_Cycle,Billing_Cycle,Balance,BAR,Total_Due,TDtoBRatio,Instalment,Opening_Balance,Opening_Arrears,Opening_Total_Due,Opening_acc_status,Opening_acc_age,Current_Due,Xdays_Due,Due_30days,Due_60days,Due_90days,Due_120days,Due_150days,Due_180days,Due_210days,Current_per,Xdays_per,30days_per,60days_per,90days_per,120days_per,150days_per,180days_per,210days_per,Deliquency,DC,TDtoBal,ARtoBal,Recency,Account_Age,Case_Age,Original_Band,Current_Band,Existing_Account,PropensistyToRol,BehaviourRiskScore,PaymentProjectionScore,Digigroup,Contact_Score,Credit_Risk,Missing,PContacts,PRPCs,PSMSs,PEmails,PLetters,PDOs,PPTPs,PAttempts,Previous_Account,Previous_Total_Due,Previous_Payment,Previous_Payment_Amount,Previous_Payment_Perc,Previous_Cure,Current_Payment,Current_Payment_Amount,Current_Cure,Age,Gender,LSM,Income_Band,Home_Ownership_Status,Director_Status,ped_id_number,Person1_Score,Person1_MaritalStatus,Person1_MarriageDate,Person1_Gender,Deceased1_IsDeceased,Deceased1_DateOfDeath,Deceased1_PlaceOfDeath,Address1_Score,Address1_ComplexNumber,CreditScore1_CreditScore,CreditScore1_CreditScoreCategory,StrikeDates1_StrikeDate1,StrikeDates1_StrikeDate2,StrikeDates1_StrikeDate3,Judgements1_PersonName,Judgements1_Plaintiff,Judgements1_Attorneys,Judgements1_JudgmentAmount,Income1_Income,Income1_Confidence,EagleEye1_HasDefault,EagleEye1_HasJudgment,EagleEye1_IsDirector,EagleEye1_UnderDebtReview,EagleEye1_OwnsProperty,EagleEye1_LastEmploymentUpdate,EagleEye1_HasPPAccounts,EagleEye1_HasPPAdverse,CellNumber1_Score,CellNumber1_TelNumber,CellNumber1_TelType,CellNumber1_LatestDate,CellNumber2_Score,CellNumber2_TelNumber,CellNumber2_TelType,CellNumber2_LatestDate,CellNumber3_Score,CellNumber3_TelNumber,CellNumber3_TelType,CellNumber3_LatestDate,WorkNumber1_Score,WorkNumber1_TelNumber,WorkNumber1_TelType,WorkNumber1_LatestDate,WorkNumber2_Score,WorkNumber2_TelNumber,WorkNumber2_TelType,WorkNumber2_LatestDate,WorkNumber3_Score,WorkNumber3_TelNumber,WorkNumber3_TelType,WorkNumber3_LatestDate,HomeNumber1_Score,HomeNumber1_TelNumber,HomeNumber1_TelType,HomeNumber1_LatestDate,HomeNumber2_Score,HomeNumber2_TelNumber,HomeNumber2_TelType,HomeNumber2_LatestDate,HomeNumber3_Score,HomeNumber3_TelNumber,HomeNumber3_TelType,HomeNumber3_LatestDate,Employer1_OriginalEmployerName,Employer1_Occupation,Employer1_LatestDate,Employer1_EmployerTelephone,Employer2_OriginalEmployerName,Employer2_Occupation,Employer2_LatestDate,Employer2_EmployerTelephone
1105232237,1,6637,Dec 2025,3,36648.3,0.6416,23514.69,0.6416,1586.07,38000.28,24331.04,22557.98,0,8,4420.85,5389.71,5044.63,2521.53,6137.97,0.0,0.0,0.0,0.0,0.188,0.2292,0.2145,0.1072,0.261,0.0,0.0,0.0,0.0,5,5,0.6416,0.6416,20,106,3186,4,3,1,0.8283,577.93,0.4853,1,4.0,,0,7,7,0,1,0,2,1,28,-1,22582.88,0,0.0,0.0,0,0,0.0,0,59.0,1.0,99,5,1,1,,100.0,,,Male,False,,,44.1,,750.0,Normal,6.0,4.0,19.0,,,,0,3399.0,Low,,,,,,,,,55.0,0837347262,Work,2020-04-19,,,Cell,2020-10-17,98.9,0781853679,Cell,,,0795654705,,2020-11-19,60.2,0823576634,,2020-12-19,55.8,0713771771,Work,,56.3,0767183452,,2025-02-07,52.8,,,,,,Cell,2021-05-04,,Technician,2025-09-12,0818730432,,Teacher,2020-07-13,0747571905
1104956488,1,6637,Dec 2025,1,16812.95,0.9882,16614.24,0.9882,618.59,17588.34,17399.36,16020.07,0,5,16614.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.9882,0.9882,50,115,3477,5,4,1,0.4585,580.77,0.6372,10,,9.0,0,4,2,2,1,2,2,2,10,1,15856.48,0,0.0,0.0,0,0,0.0,0,26.0,1.0,3,6,2,0,4480837628179,,Divorced,Unknown,Female,False,,,,,,,26.0,,26.0,,,,0,5472.0,Low,False,False,True,True,False,2022-12-22,True,False,,,,2024-12-31,51.7,0746484034,,2020-03-20,,,,2025-04-16,88.3,,,,79.6,0789079551,Home,2021-12-20,,0740436831,,2021-08-28,95.9,,Cell,2024-11-24,98.0,,Work,,50.1,,,,,,2024-12-05,,,Consultant,,0794351486
1104951547,3,6647,Dec 2025,3,76157.14,0.3519,26802.77,0.3519,2041.33,75208.66,27424.55,26928.87,0,2,26802.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.3519,0.3519,9999,0,10,5,5,0,0.8932,431.32,0.6073,1,11.0,2.0,1,0,0,0,2,1,1,1,0,0,0.0,0,0.0,0.0,0,0,0.0,0,43.0,2.0,99,99,99,0,,,Widowed,None,Male,False,,,45.1,,430.0,ThinFile,,12.0,13.0,,,,0,2859.0,Low,False,False,False,False,False,2018-05-23,False,False,83.9,,Work,2021-08-28,62.9,0720558590,Work,,57.5,,,2025-06-11,,0791660832,Home,,,,Work,,60.6,,Work,,,0712497285,Cell,,,,Cell,2022-05-27,82.4,,,2023-06-05,,Analyst,,0813565099,Sasol,,,
1105071930,4,6638,Nov 2025,1,52604.35,0.9982,52511.15,0.9982,1597.97,52175.97,51924.47,50071.06,0,12,8127.39,3417.9,7105.06,6835.63,6357.51,4738.26,9368.92,3570.58,2989.9,0.1548,0.0651,0.1353,0.1302,0.1211,0.0902,0.1784,0.068,0.0569,9,9,0.9982,0.9982,24,22,686,5,2,1,0.0976,258.65,0.7629,6,82.0,4.0,1,6,6,2,1,1,2,2,14,1,52201.72,1,41332.66,0.7918,0,1,28125.39,0,74.0,1.0,7,99,1,0,9398918103930,100.0,Married,None,Male,False,,,65.8,,,,6.0,,10.0,,,,0,9998.0,Low,False,False,False,False,True,2022-04-21,True,True,52.3,,,,61.2,,Work,2020-07-15,,,,,,0725627467,,,52.0,0746420015,Cell,2020-11-03,,,,,,0736134680,,2024-06-27,,,Home,2025-05-31,,0797688784,Home,,,Director,2023-05-04,0832985664,,Director,2016-08-31,
1105124946,3,6636,Oct 2025,2,44264.4,0.565,25011.44,0.565,2332.03,42400.12,24871.85,25194.11,0,2,4009.8,1064.69,4460.97,5860.14,920.61,3698.29,4996.94,0.0,0.0,0.1603,0.0426,0.1784,0.2343,0.0368,0.1479,0.1998,0.0,0.0,7,7,0.565,0.565,10,1,56,1,5,1,0.8901,654.6,0.3409,4,57.0,8.0,1,7,1,0,2,0,0,2,11,-1,27334.67,0,0.0,0.0,0,1,19033.52,0,62.0,1.0,99,99,99,0,4771498574691,100.0,Single,2009-06-01,Male,False,,,,,610.0,Normal,28.0,19.0,24.0,,,,0,3349.0,Low,False,False,False,False,False,2023-09-30,True,False,85.6,0842276917,Cell,2023-08-13,88.0,0835647828,,,,,,2022-07-07,,,,2024-12-19,95.6,0843571714,,2021-12-12,,,Home,2023-05-18,,,Cell,,60.9,0824576132,,2020-06-12,66.0,0723529838,,,XYZ Ltd,Driver,2023-09-03,0716262682,FNB,Clerk,,
1105238094,3,6647,Jan 2026,1,43019.33,0.749,32221.3,0.749,1924.43,44120.46,32497.14,32868.57,0,2,10958.06,6316.25,14946.99,0.0,0.0,0.0,0.0,0.0,0.0,0.3401,0.196,0.4639,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0.749,0.749,11,78,2342,3,4,-1,0.3951,473.99,0.1364,9,36.0,1.0,1,0,0,0,0,0,2,3,17,-1,35101.75,0,0.0,0.0,0,0,0.0,0,65.0,2.0,99,99,2,0,1650795606215,100.0,,Unknown,Female,False,,,,,560.0,Normal,,7.0,22.0,,,,0,2395.0,Low,True,False,False,False,False,2021-06-05,True,False,,0738176788,Work,2022-05-21,77.6,0824732772,,2024-01-30,83.1,,Work,,,,,2025-11-05,63.7,,Cell,2023-12-16,67.3,,Work,2021-04-29,,0724421800,,,,0769549687,,2025-04-14,58.5,0831576516,Work,,,Engineer,2025-03-13,0798619585,XYZ Ltd,Driver,2021-01-17,0846530528
1106012600,4,6635,Dec 2025,4,61385.78,0.9371,57522.14,0.9371,1433.52,61989.16,57773.69,56128.98,0,1,21150.32,15485.51,3156.88,192.74,17536.69,0.0,0.0,0.0,0.0,0.3677,0.2692,0.0549,0.0034,0.3049,0.0,0.0,0.0,0.0,5,5,0.9371,0.9371,13,89,2695,3,4,1,0.1066,585.37,0.5361,10,34.0,5.0,1,8,8,3,0,1,2,3,8,1,58415.47,1,40836.2,0.6991,0,0,0.0,0,72.0,1.0,8,99,99,1,8660368846023,100.0,Widowed,None,Male,False,,,78.4,207.0,620.0,Normal,9.0,25.0,16.0,,,,0,6562.0,Low,False,False,False,False,False,2025-07-05,True,False,,0725755382,Home,,,,Home,2025-06-03,87.9,,,2023-07-17,67.7,,,2022-02-17,60.0,0762226119,Work,2020-01-28,,0813388521,,2022-06-28,56.4,0794553619,,,60.5,,,,70.0,,Cell,2021-09-04,,,2025-01-06,,Shoprite,Consultant,2016-01-30,0782358343
1106019821,2,6636,Dec 2025,3,54018.83,0.6412,34639.34,0.6412,2671.83,56123.58,34227.38,33899.87,0,11,5777.03,4262.16,6178.3,2806.59,4074.06,2693.19,6035.29,526.38,2286.34,0.1668,0.123,0.1784,0.081,0.1176,0.0777,0.1742,0.0152,0.066,9,9,0.6412,0.6412,18,41,1240,3,3,-1,0.2712,862.81,0.5869,7,20.0,-1.0,0,10,4,5,2,2,0,1,5,1,31889.04,0,0.0,0.0,0,0,0.0,0,,2.0,99,99,99,1,2741510398489,,Married,2010-06-25,Female,False,,,58.6,,,,9.0,8.0,,,,,0,2353.0,Low,False,False,True,False,False,2023-05-09,False,False,79.9,,,2022-09-08,90.0,,Home,2023-01-19,,,,,65.6,,,2022-10-21,,0743929170,Cell,2023-07-02,57.9,,Work,,,,Cell,2023-10-18,99.8,0713151435,Home,2024-12-01,,0732075545,Home,2023-02-01,Eskom,,,0768547578,Standard Bank,,2015-09-17,
1104951717,2,6635,Oct 2025,2,9010.89,0.4341,3911.91,0.4341,191.69,9138.62,3868.33,3907.96,0,10,3911.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.4341,0.4341,9999,0,22,5,3,0,0.0491,,0.921,2,58.0,-1.0,1,0,0,0,1,2,0,2,0,0,0.0,0,0.0,0.0,0,0,0.0,0,,,4,99,1,99,1659557756741,,Divorced,2013-12-13,Female,False,,,99.8,423.0,750.0,Normal,10.0,18.0,12.0,,,,0,5269.0,Medium,False,False,True,True,True,2018-03-08,False,False,,,Cell,,68.4,0742355203,Home,2021-01-25,65.0,,Cell,2020-02-16,,,Home,,71.6,0731050305,Cell,2025-05-23,74.4,0745952246,Cell,,,,,,,,,2022-05-06,60.6,0765696639,,,,Consultant,,,FNB,Clerk,2020-06-08,
1105071301,3,6638,Dec 2025,3,19278.28,0.9848,18984.69,0.9848,772.1,19879.56,19223.5,19703.6,0,1,4532.7699999999995,1077.34,1632.3,1876.15,655.53,3485.8,2486.84,3237.96,0.0,0.2388,0.0567,0.086,0.0988,0.0345,0.1836,0.131,0.1706,0.0,8,8,0.9848,0.9848,11,112,3380,2,4,1,0.5729,312.38,0.4492,3,73.0,2.0,1,8,2,3,0,2,2,1,10,1,19202.41,1,10737.87,0.5592,0,0,0.0,0,71.0,1.0,7,5,2,0,7117625226364,100.0,Divorced,None,Male,,,,,277.0,710.0,Normal,6.0,2.0,30.0,,,,0,4990.0,Low,False,False,False,False,True,2022-04-08,True,False,78.6,0848754809,Home,2020-06-09,75.8,0711487212,Work,2021-08-05,,,Work,2022-04-07,,0849771143,Home,2025-09-26,58.0,0717956181,,,59.0,0740704486,Cell,2025-05-02,72.1,0712565801,,2020-05-12,,0720416665,Cell,2024-01-15,,0788878041,Home,,Shoprite,Clerk,2025-12-25,0724699263,Eskom,Driver,2020-07-26,
1105077793,4,6647,Dec 2025,3,45053.03,0.7463,33620.94,0.7463,921.42,43706.79,32886.75,34596.6,0,5,14040.19,19580.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4176,0.5824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0.7463,0.7463,49,15,471,3,3,-1,0.7244,29.12,0.3305,8,59.0,9.0,0,10,7,4,1,1,1,0,26,-1,32271.69,1,27079.14,0.8391,0,1,25818.96,0,31.0,2.0,99,99,0,1,9685358773044,100.0,Divorced,,Male,False,,,,495.0,500.0,Normal,29.0,27.0,24.0,,,,0,2573.0,Low,,,,,,,,,99.1,0732038130,,,88.3,0715383123,,,50.8,,Home,2023-10-19,,0840303786,Home,,59.9,,Home,2025-03-21,,0832319383,Cell,2023-12-10,,0786118736,Work,,,0813385747,,2020-11-15,85.6,,Work,,Self Employed,,2016-07-23,,,,2025-07-30,0789565880
1104956885,1,6636,Oct 2025,2,34821.38,0.7131,24831.64,0.7131,1567.26,35558.81,24598.3,24670.71,0,4,4193.19,1662.07,3396.04,8163.33,7417.01,0.0,0.0,0.0,0.0,0.1689,0.0669,0.1368,0.3287,0.2987,0.0,0.0,0.0,0.0,5,5,0.7131,0.7131,10,20,609,2,2,1,,721.34,0.4367,2,16.0,5.0,1,9,2,3,2,1,2,3,12,1,23469.58,0,0.0,0.0,0,1,12508.07,0,49.0,1.0,5,99,0,99,4359075872556,100.0,Single,2014-03-10,Male,False,,,40.6,,550.0,Normal,11.0,25.0,,,,,0,12413.0,Medium,False,True,False,False,True,2021-04-10,True,False,54.1,0762622769,Work,,85.0,0828301914,,2024-12-07,58.4,0780280444,,2024-05-16,57.3,0712733590,Home,2024-11-03,,0762063777,Cell,,,,,2022-06-07,81.9,,,2025-03-27,53.8,,,,,,,2024-12-13,,Clerk,2017-10-23,0718169627,,Consultant,2019-07-13,
1105231904,1,6638,Dec 2025,1,67373.94,0.8323,56076.49,0.8323,2128.91,65373.75,56381.97,58698.14,0,11,56076.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.8323,0.8323,10,115,3453,3,4,1,0.8852,,0.0254,4,61.0,7.0,1,8,7,0,0,1,0,2,25,-1,50949.02,0,0.0,0.0,0,0,0.0,0,69.0,2.0,99,4,0,99,1649071103741,100.0,,Unknown,Female,False,,,84.3,124.0,370.0,ThinFile,10.0,25.0,1.0,,,,0,2802.0,Low,,,,,,,,,57.1,0785490086,Cell,,,,Home,2021-12-15,,0816083451,Cell,,88.5,0760118941,Cell,,62.6,0810791741,Work,2023-08-28,87.4,0747307832,,,96.4,0793413230,,2025-03-21,,,Work,2022-06-05,,0797235851,Cell,,Old Mutual,,2020-12-15,,Self Employed,Manager,,0818704784
